country,country_code_2_digit,country_code_3_digit,population,age_group_0_14,age_group_15_24,age_group_25_49,age_group_50_64,age_group_65_79,age_group_80_max
Albania,AL,ALB,2862427,17.2,15.5,33.0,20.2,11.4,2.7
Andorra,AD,AND,76177,13.9,10.6,39.4,22.5,10.2,3.4
Armenia,AM,ARM,2963234,20.2,11.8,36.9,19.1,9.0,3.0
Austria,AT,AUT,8858775,14.4,10.9,34.0,21.7,13.8,5.0
Azerbaijan,AZ,AZE,10139175,22.4,14.1,39.1,17.6,5.3,1.5
Belarus,BY,BLR,9449321,16.9,9.9,36.6,21.3,11.3,3.9
Belgium,BE,BEL,11455519,16.9,11.4,32.7,20.1,13.3,5.6
Bulgaria,BG,BGR,7000039,14.4,8.9,35.0,20.4,16.5,4.8
Croatia,HR,HRV,4076246,14.4,10.9,32.5,21.6,15.2,5.3
Cyprus,CY,CYP,875899,16.1,12.8,37.1,17.9,12.5,3.7
Czechia,CZ,CZE,10649800,15.9,9.1,36.7,18.8,15.5,4.1
Denmark,DK,DNK,5806081,16.5,12.6,31.7,19.6,15.0,4.5
Estonia,EE,EST,1324820,16.4,9.5,34.9,19.4,14.1,5.6
Finland,FI,FIN,5517919,16.0,11.2,31.2,19.9,16.3,5.5
France,FR,FRA,67012883,18.0,11.7,31.0,19.2,14.0,6.1
Georgia,GE,GEO,3989175,20.3,11.5,33.9,19.5,11.4,3.5
Germany,DE,DEU,83019213,13.6,10.4,31.6,22.8,15.1,6.5
Greece,EL,GRC,10724599,14.3,10.2,33.1,20.3,14.9,7.1
Hungary,HU,HUN,9772756,14.5,10.7,35.8,19.6,14.9,4.4
Iceland,IS,ISL,356991,19.0,13.4,35.5,17.9,10.7,3.5
Ireland,IE,IRL,4904240,20.5,12.6,35.6,17.2,10.8,3.3
Italy,IT,ITA,60359546,13.2,9.8,32.4,21.9,15.7,7.2
Latvia,LV,LVA,1919968,15.9,9.2,33.8,20.9,14.7,5.6
Liechtenstein,LI,LIE,38378,14.7,10.9,33.3,23.2,14.1,3.8
Lithuania,LT,LTU,2794184,15.1,10.5,32.7,21.9,14.0,5.8
Luxembourg,LU,LUX,613894,16.1,11.6,38.2,19.8,10.4,4.0
Malta,MT,MLT,493559,13.7,11.0,38.5,18.2,14.5,4.2
Moldova,MD,MDA,4033963,,,,,,
Montenegro,ME,MNE,622182,18.0,13.0,34.2,19.8,11.9,3.3
Netherlands,NL,NLD,17282163,15.9,12.3,31.8,20.9,14.6,4.6
North Macedonia,MK,MKD,2077132,16.4,12.4,37.5,19.7,11.5,2.5
Norway,NO,NOR,5328212,17.5,12.4,34.1,18.7,13.0,4.2
Poland,PL,POL,37972812,15.4,10.3,37.0,19.7,13.3,4.4
Portugal,PT,PRT,10276617,13.7,10.6,32.9,20.9,15.4,6.4
Romania,RO,ROU,19414458,15.7,10.6,35.6,19.7,13.9,4.7
Russia,RU,RUS,145934460,,,,,,
San Marino,SM,SMR,34453,,,,,,
Serbia,RS,SRB,6963764,14.3,10.5,33.8,20.9,15.8,4.6
Slovakia,SK,SVK,5450421,15.7,10.4,38.1,19.7,12.7,3.3
Slovenia,SI,SVN,2080908,15.1,9.4,34.1,21.6,14.5,5.3
Spain,ES,ESP,46937060,14.8,9.8,35.3,20.7,13.3,6.1
Sweden,SE,SWE,10230185,17.8,11.3,32.9,18.1,14.8,5.1
Switzerland,CH,CHE,8544527,15.0,10.6,35.0,20.9,13.3,5.2
Turkey,TR,TUR,82003882,23.4,15.8,37.0,15.0,7.0,1.8
Ukraine,UA,UKR,43733759,15.4,9.6,37.6,20.6,12.5,4.3
United Kingdom,UK,GBR,66647112,17.9,11.8,32.8,19.1,13.4,5.0
